Domaine Belle d'Argence,Viticulture Costières de Nîmes,contact@belledargence.com,,Route de Jonquières,30127,Bellegarde,04 66 01 62 29,https://www.belledargence.com
Domaine de Poulvarel,Viticulture Costières de Nîmes,contact@domainedepoulvarel.com,,110 Chemin des lauriers de la Soubeyranne,30210,Sernhac,04 66 01 67 46,https://domainedepoulvarel.com
Château Margarot,Viticulture Costières de Nîmes,contact@chateau-margarot.com,,7 Rue de la Cave,30620,Aubord,04 66 71 12 48,https://www.chateau-margarot.com
Domaine de la Mordorée,Viticulture Tavel,info@domaine-mordoree.com,,250 Chemin des Oliviers,30126,Tavel,04 66 50 00 75,https://www.domaine-mordoree.com
Château de Campuget,Viticulture Costières de Nîmes,campuget@campuget.com,,Château de Campuget,30129,Manduel,04 66 20 20 15,https://campuget.com
Château l'Ermite d'Auzan,Viticulture Costières de Nîmes,contact@lermitedauzan.com,,Chemin d'Auzan,30800,Saint-Gilles,04 66 87 04 49,https://www.lermitedauzan.com
Château de Manissy,Viticulture Tavel,vins-de-tavel@chateau-de-manissy.com,,Route de Roquemaure,30126,Tavel,04 66 82 86 94,https://www.chateau-de-manissy.com
Château d'Aqueria,Viticulture Tavel,contact@aqueria.com,,Route de Pujaut,30126,Tavel,04 66 50 04 56,https://www.aqueria.com
Domaine la Genestière,Viticulture Tavel,contact@domaine-genestiere.com,,Chemin de Cravailleux,30126,Tavel,04 66 50 07 03,https://chateau-genestiere.com
Château Saint Roch,Viticulture Lirac,eve.brunel@chateau-saint-roch.com,,Chemin de Lirac,30150,Roquemaure,04 66 82 82 59,https://www.gardine.com
Domaine Maby,Viticulture Tavel-Lirac,domaine-maby@wanadoo.fr,,249 Rue St Vincent,30126,Tavel,04 66 50 03 40,https://domainemaby.fr
Domaine Duseigneur,Viticulture Lirac,info@domaineduseigneur.com,,Rue Nostradamus,30126,Saint-Laurent-des-Arbres,04 90 02 08 17,https://www.domaineduseigneur.com
Château de Ségriès,Viticulture Lirac,chateaudesegries@wanadoo.fr,,Chemin de la Grange,30126,Lirac,04 66 39 11 98,https://www.chateaudesegries.fr
Château Saint Cyrgues,Viticulture Costières de Nîmes,chateau@saintcyrgues.com,,Route de Montpellier,30800,Saint-Gilles,04 66 87 31 72,https://www.saintcyrgues.com
Château de Nages,Viticulture Costières de Nîmes,info@chateaudenages.com,,Chemin des Canaux,30132,Caissargues,04 66 38 44 30,https://www.chateaudenages.com
Château Mas Neuf,Viticulture Costières de Nîmes,contact@chateaumasneuf.com,,Gallician,30600,Vauvert,04 66 73 33 23,https://www.chateau-mas-neuf.com
Domaine de la Patience,Viticulture Costières de Nîmes,domainedelapatience@orange.fr,,61 RD 6086,30320,Bezouce,04 66 75 95 94,https://www.domainedelapatience.com
Domaine de la Valériane,Viticulture Côtes du Rhône,contact@domainevaleriane.com,,82 Route d'Estézargues,30390,Domazan,04 66 57 04 84,https://www.domainevaleriane.com
Mas des Bressades,Viticulture Costières de Nîmes,contact@masdesbressades.fr,,Le grand Plagnol,30129,Manduel,04 66 01 80 20,https://www.masdesbressades.com
Château de Bosc,Viticulture / Œnotourisme,contact@chateaudebosc.fr,,RN 100 chemin du Bosc,30390,Domazan,04 66 57 65 11,https://www.chateaudebosc.fr
Domaine Saint Firmin,Viticulture Duché d'Uzès,domstfirmin@gmail.com,,1-6 rue Saint Firmin,30700,Uzès,04 66 22 11 43,https://www.saint-firmin.com
Mas Granier Mas Montel,Viticulture AOC Languedoc,contact@masgranier.com,,2 chemin du Mas Montel,30250,Aspères,04 66 80 01 21,https://www.masgranier.com
Château de Valcombe,Viticulture Costières de Nîmes,info@chateaudevalcombe.com,,Route Départementale 14 Km 5,30510,Générac,04 66 01 32 20,https://chateaudevalcombe.com
Château Beaubois,Viticulture Costières de Nîmes,chateaubeaubois@orange.fr,,RD 6572,30640,Franquevaux-Beauvoisin,04 66 73 30 59,https://www.chateau-beaubois.com
Château d'Arpaillargues,Hôtellerie 4 étoiles,arpaillargues@orange.fr,,4 rue du Château,30700,Arpaillargues-et-Aureillac,04 66 22 14 48,https://www.chateaudarpaillargues.com
Le Mas des Oules,Mas séminaire / mariage,info@lemasdesoules.com,,Route de Saint-Hippolyte,30700,Saint-Victor-des-Oules,06 87 90 18 79,https://www.lemasdesoules.eu
Mas de l'Espérance,Mas mariage / chambres d'hôtes,contact@mas-esperance.com,,176 rue du Falcon,30800,Saint-Gilles,04 66 70 01 51,https://www.mas-esperance.com
Domaine Arbaud,Mas séminaire / mariage,domainearbaud@orange.fr,,Mas d'Arbaud,30129,Redessan,06 64 84 95 00,https://www.domainearbaud.com
Mas de Rey Uzès,Mas séminaire,masderey.uzes30@gmail.com,,Mas de Rey,30700,Arpaillargues-et-Aureillac,06 64 58 08 85,https://www.masderey-uzes.com
Le Mas du Versadou,Mas mariage / chambres d'hôtes,lemasduversadou@gmail.com,,Route des Iscles,30800,Saint-Gilles,06 24 68 84 26,https://masduversadou.fr
Hostellerie Le Castellas,Hôtel 4 étoiles / Restaurant,info@lecastellas.com,,30 Grand'Rue,30210,Collias,04 66 22 88 88,https://www.lecastellas.com
Le Mas de Peyre,Mas mariage / chambres d'hôtes,contact@masdepeyre.com,,Chemin du Pont des Iles,30230,Rodilhan,04 26 93 99 14,https://www.masdepeyre.com
La Maison d'Uzès,Hôtel 5 étoiles Relais & Châteaux,contact@lamaisonduzes.fr,,18 rue du Docteur Blanchard,30700,Uzès,04 66 20 07 00,https://www.lamaisonduzes.fr
Auberge d'Uzès,Hôtel restaurant,auberge-uzes@wanadoo.fr,,Pont des charrettes,30700,Uzès,04 66 22 16 15,https://www.auberge-uzes.fr
Hôtel Jardins Secrets,Hôtel de charme,contact@jardinssecrets.net,,3 rue Gaston Maruejols,30000,Nîmes,04 66 84 82 64,https://www.jardinssecrets.net
Restaurant SKAB,Restaurant gastronomique Michelin,contact@restaurant-skab.fr,,7 Rue de la République,30000,Nîmes,04 66 21 94 30,https://www.restaurant-skab.fr
Restaurant Le Tracteur,Restaurant gastronomique,d.bellano@orange.fr,,Argilliers,30210,Argilliers,04 66 62 17 33,https://www.letracteur-restaurant.fr
